date,ormas_mentioned,sentiment,headline
2025-03-20,Ormas Saja,Negative,kapolres bogor tindak ormas paksa thr
2025-03-19,Ormas Saja,Negative,asosiasi biaya keluh aksi ormas preman ganggu industri
2023-09-19,Ormas Saja,Neutral,lsi rilis hasil survei suara ormas partai islam pilpres 2024
2025-03-17,Ormas Saja,Neutral,jurus polda jateng berantas preman kedok ormas jelang lebaran
2025-03-26,Ormas Saja,Negative,oknum ormas thr bkpm efek negatif
2025-01-13,Ormas Saja,Neutral,politikus nasdem dukung anies ormas warna
2025-01-13,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,ormas pemuda pancasila geruduk markas grib blora
2025-01-18,Ormas Saja,Neutral,kabar spekulasi gibran rapat ormas golkar
2025-03-19,Ormas Saja,Negative,video viral ormas thr usaha wamenag
2025-01-15,Pemuda Pancasila (PP),Negative,polisi selidik motif bentrok ormas pp vs grib bandung
2025-01-15,Ormas Saja,Negative,12 orang luka bentrok 2 ormas blora
2025-01-11,Ormas Saja,Neutral,anies luncur ormas kabar
2023-08-01,Ormas Saja,Neutral,momen pattimura bogor
2025-01-15,Ormas Saja,Negative,polisi tangkap 19 orang buntut bentrok 2 ormas blora
2025-01-09,Ormas Saja,Neutral,jubir anies ormas dukung libat
2025-01-15,Ormas Saja,Negative,anggota 2 ormas bentrok blora mobil rusak
2025-01-11,Ormas Saja,Neutral,video anies wacana bentuk ormas kabar
2025-01-16,Pemuda Pancasila (PP),Negative,bentrok ormas pp grib bandung 4 fakta
2025-01-09,Ormas Saja,Negative,heboh camat asemrowo digeruduk ormas tuding sembunyi wanita
2024-12-23,Nahdlatul Ulama (NU),Negative,polisi bentrok ciledug picu turun bendera ormas
2025-03-10,Ormas Saja,Negative,video momen wabup garut tegur ormas razia warung puasa
2024-12-23,Ormas Saja,Positive,ormas agama jalur khusus kelola tambang
2025-03-19,Ormas Saja,Negative,video viral ormas thr usaha wamenag
2024-12-20,Ormas Saja,Positive,video polri libat ormas aman gereja natal
2023-07-17,Ormas Saja,Positive,luncur buku nilai kebaji jamaah ldii
2025-01-15,Pemuda Pancasila (PP),Negative,video markas ormas pp bandung serang 6 orang luka
2024-12-12,Ormas Saja,Positive,jelang natal walkot eri libat ormas bantu jaga aman gereja
2024-12-10,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,2 ormas bentrok sergai markas grib bakar
2024-12-09,Ormas Saja,Negative,lapor konflik guru ngaji ormas garut masuk adil
2024-12-04,Ormas Saja,Negative,guru ngaji libat tikai ormas garut kronologi
2024-12-02,Ormas Saja,Negative,pj walkot pekanbaru jaring ott jabat direktur ormas kemendagri
2024-11-18,Ormas Saja,Negative,2 ormas bentrok pekanbaru polisi usut tuntas
2025-02-13,Ormas Saja,Neutral,video ormas geruduk festival kuliner nonhalal solo pesan wali kota
2024-11-07,Ormas Saja,Negative,bentrok ormas ujung aksi bakar usut polisi
2025-03-15,Nahdlatul Ulama (NU),Negative,kronologi tugas wi-fi keroyok oknum ormas depok gegara ogah palak
2024-11-06,Ormas Saja,Negative,bentrok 2 kelompok ormas setu tangsel posko bakar
2023-07-05,Ormas Saja,Positive,donor darah sambut hut bhayangkara
2024-11-06,Ormas Saja,Negative,polisi selidik bentrok ormas ujung bakar posko tangsel
2025-03-10,Pemuda Pancasila (PP),Negative,anggota nongol ormas sweeping warung kasatpol pp garut
2025-03-15,Nahdlatul Ulama (NU),Negative,oknum ormas aniaya tugas kabel wi-fi depok gegara korban ogah palak
2025-03-09,Pemuda Pancasila (PP),Negative,aksi sweeping warung garut polisi periksa ormas satpol pp
2025-02-28,Ormas Saja,Neutral,ormas gera rakyat mesin politik anies pan hak warga negara
2025-02-28,Ormas Saja,Positive,anies tokoh sentral ormas gera rakyat pks sambut buka
2025-02-28,Pemuda Pancasila (PP),Neutral,bos ppi ormas gera rakyat ancang anies nyapres 2029
2025-02-05,Ormas Saja,Positive,video endang tirtana bicara peran ormas agama krisis bencana
2025-02-27,Ormas Saja,Positive,pkb anies hadir ormas gera rakyat mudah lancar
2025-03-10,Pemuda Pancasila (PP),Negative,anggota ormas sweeping warung kasatpol pp garut buka suara
2025-03-08,Ormas Saja,Neutral,jumat curhat kapolres purbalingga keluh ormas knalpot brong
2023-06-14,Ormas Saja,Neutral,dorong kpk bongkar mafia mahkamah agung
2025-04-10,Ormas Saja,Negative,eks ketua ormas bersenpi begal tani terima 25 jahit sergai
2024-08-20,Ormas Saja,Positive,harap maslahat tambang tangan ormas agama
2024-11-01,Ormas Islam,Positive,rawan masyarakat ormas islam deklarasi dukung pramono pilgub jakarta
2024-10-28,Ormas Saja,Negative,video tampang anggota ormas bartender robok
2025-02-27,Ormas Saja,Negative,bos hotel teriak ormas suka jatah proyek ratus juta
2025-03-04,Ormas Saja,Negative,ormas kawasan industri bos buruh usaha lapor polisi
2024-10-27,Ormas Saja,Negative,viral pria ngaku anggota ormas bikin onar bar robok
2025-01-18,MKGR,Positive,video mkgr senang gibran gabung dukung
2025-02-18,Ormas Saja,Positive,ormas agama-umkm gaet kontraktor garap tambang esdm nggak haram
2024-10-28,Ormas Saja,Negative,polisi pamer anggota ormas bartender robok
2024-08-14,Ormas Saja,Neutral,implikasi konsesi tambang ormas agama
2023-06-12,Ormas Saja,Neutral,hercules sambut ratus ulama
2024-10-31,Ormas Saja,Positive,ormas bentuk prabowo dukung cabup lamongan abdul ghofur-firosya shalati
2025-02-18,Ormas Saja,Negative,viral posko ormas jakbar gerebek warga gegara minum miras
2025-02-19,Ormas Saja,Positive,ormas agama-umkm ladang cuan pasca uu minerba sah
2025-02-15,Ormas Saja,Neutral,viral ribut 2 ormas lahan parkir tangerang damai
2025-02-19,Ormas Saja,Positive,pgi sambut aja prabowo ormas awas danantara kuat kontrol publik
2025-02-15,Ormas Saja,Negative,bang jago todong pisau tk tangsel anggota ormas polisi cari
2025-02-18,Ormas Saja,Neutral,uu minerba ormas kelola tambang wilayah eksisting
2025-01-17,Pemuda Pancasila (PP),Negative,video 5 sangka bentrok ormas grib-pp giring polres bandung
2025-02-13,Ormas Saja,Negative,kemnaker ancam lapor ormas ganggu serap tenaga kerja polisi
2025-02-13,Gerakan Rakyat Indonesia Bersatu (GRIB),Neutral,ramai spanduk prabowo nyata mundur ormas grib 2022
2025-02-13,Ormas Saja,Neutral,video ormas geruduk festival kuliner nonhalal solo pesan wali kota
2023-05-18,Ormas Saja,Neutral,ormas bekas tolak pj bupati
2024-10-27,Ormas Saja,Negative,polisi picu anggota ormas bikin onar bar robok
2024-10-14,Nahdlatul Ulama (NU),Neutral,nu muhammadiyah ormas tawar garap tambang
2025-02-06,Ormas Saja,Negative,heboh adu ormas ancam dagang pasar jongke solo fakta
2025-03-24,Ormas Saja,Negative,5 anggota ormas ngamuk-buang sampah kantor dinkes bekas tangkap
2024-10-08,Ormas Saja,Positive,kunjung mui jakarta rk temu ormas agama
2025-03-24,Ormas Saja,Negative,anggota ormas viral bikin ulah kantor dinkes bekas tangkap
2025-03-22,Ormas Saja,Negative,ormas ulah buang sampah kantor dinas proyek olah limbah
2025-01-16,Pemuda Pancasila (PP),Negative,video dampak serang grib markas pp bandung 6 orang luka 2 mobil rusak
2025-03-25,Ormas Saja,Negative,video viral pria ngaku anggota ormas thr tukang cukur jaksel
2025-03-22,Ormas Saja,Negative,3 fakta ormas bekas marah buang sampah kantor dinkes
2025-03-25,Ormas Saja,Negative,cak imin ormas paksa usaha thr kerja
2023-04-06,Ormas Saja,Positive,lomba cerdas cermat al-qur an semarak ramadan
2025-03-21,Ormas Saja,Negative,ormas bekas ngamuk-nyampah dinkes kerja olah limbah
2025-02-15,Ormas Saja,Positive,danantara luncur prabowo presiden ri-ormas awas
2024-10-09,Ormas Saja,Positive,ormas pujakesuma sambang istana negara jokowi pesan
2024-10-01,Ormas Saja,Neutral,lsm tolak izin tambang ormas agama alas
2025-03-21,Ormas Saja,Negative,viral ormas bekas ngamuk buang sampah kantor dinkes
2025-03-25,Ormas Saja,Negative,viral ormas usaha bogor marah polisi
2025-03-17,Ormas Saja,Negative,viral usaha depok surat ormas thr polisi selidik
2025-01-15,Pemuda Pancasila (PP),Negative,video pp tempuh jalur hukum markas serang ormas grib
2025-03-17,Ormas Saja,Negative,gubernur jateng jamin ormas jelang lebaran basmi
2023-03-25,Ormas Islam,Positive,momen said aqil buka tadarus bangsa ormas islam
2025-03-20,Ormas Saja,Negative,ulah anggota ormas palak tugas wi-fi kasih keroyok
2024-10-16,Ormas Saja,Positive,pramono-rano dukung forkabi ormas madura asli
2025-03-19,Ormas Saja,Negative,polisi buru 3 anggota ormas aniaya tugas wifi depok
2025-01-14,Pemuda Pancasila (PP),Neutral,ppi anies ormas eks tuju pilpres 2029
2025-01-17,Pemuda Pancasila (PP),Negative,video 5 sangka bentrok ormas grib-pp giring polres bandung
2025-01-15,Pemuda Pancasila (PP),Negative,video markas ormas pp bandung serang 6 orang luka
2025-03-21,Ormas Saja,Negative,ormas maaf ngamuk nyampah kantor dinkes bekas
2024-07-23,Ormas Saja,Neutral,jokowi teken atur ormas kelola tambang
2025-03-21,Ormas Saja,Negative,duduk perkara ormas bekas amuk nyampah kantor dinkes
2023-03-06,Ormas Saja,Neutral,elemen ormas nasional dorong lidi tragedi plumpang
2025-01-17,Pemuda Pancasila (PP),Negative,orang sangka bentrok ormas pp grib bandung
2025-01-17,Pemuda Pancasila (PP),Neutral,polisi telusur motif bentrok ormas pp grib jaya bandung
2025-01-30,Ormas Saja,Negative,40 anggota tni periksa bentrok ormas deli serdang
2025-03-19,Ormas Saja,Negative,polisi usaha lebak lapor ormas paksa thr
2025-03-21,Ormas Saja,Negative,ormas larang posko mudik menhub pemda-polri turun tangan
2025-01-30,Ormas Saja,Neutral,kodam i bb mediasi prajurit bentrok ormas deli serdang
2025-01-30,Ormas Saja,Negative,kronologi bentrok tni-ormas deli serdang 3 pemuda geber motor
2025-01-15,Ormas Saja,Negative,video seteru 2 ormas blora tolak ujung ricuh
2025-01-30,Ormas Saja,Negative,anggota tni bentrok ormas deli serdang warung-kendaraan rusak
2025-03-21,Ormas Saja,Negative,kapolda metro ormas halang rawan bikin posko mudik tindak
2025-03-21,Ormas Saja,Neutral,video menhub ormas larang posko mudik serah pemda-polisi
2022-12-31,Ormas Saja,Neutral,dorong kolaborasi eksploitasi tubuh lpoi
2025-03-21,Ormas Saja,Negative,video pria anggota ormas cikarang ngamuk larang posko mudik
2025-03-20,Ormas Saja,Negative,sandiaga uno respons ormas jatah thr pabrik ganggu
2025-03-19,Ormas Saja,Negative,oknum ormas palak aniaya teknisi wifi depok tangkap tampang
2025-03-21,Ormas Saja,Negative,viral oknum ormas halang rawan bikin posko mudik bekas polisi tindak
2025-01-15,Ormas Saja,Negative,video ricuh ormas blora 1 mobil 3 motor rusak
2022-12-29,Ormas Saja,Neutral,lpoi bentuk lembaga awas obat makan
2025-01-30,Ormas Saja,Negative,bentrok anggota tni ormas deli serdang kendaraan-warung rusak
2025-01-12,Ormas Saja,Neutral,pesan pks anies bikin ormas mudah personal branding
2025-01-20,Ormas Islam,Neutral,caplok bank victoria syariah btn ajak ormas islam pegang saham
2025-01-13,Ormas Saja,Neutral,nasdem doa anies ormas warna lihat
2025-01-15,Pemuda Pancasila (PP),Negative,ricuh ormas pp vs grib blora polisi 12 orang luka
2025-03-24,Ormas Saja,Negative,viral pria ngaku anggota ormas thr ketupat tukang cukur jaksel
2025-01-14,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,video ormas pemuda pancasila geruduk markas grib blora
2025-01-15,Pemuda Pancasila (PP),Neutral,suasana jalan bkr bandung markas ormas pp serang grib
2025-01-15,Pemuda Pancasila (PP),Negative,ormas grib serang markas pp bandung 2 mobil 1 motor rusak
2024-06-07,Ormas Saja,Neutral,ormas agama kelola tambang
2022-10-01,Ormas Saja,Neutral,gaya anies baswedan kemeja loreng pemuda pancasila
2025-01-15,Ormas Saja,Negative,video seteru 2 ormas blora tolak ujung ricuh
2024-09-15,Ormas Saja,Negative,bentrok ormas sukabumi 7 orang sangka
2025-01-20,Ormas Saja,Neutral,baleg dpr bahas ubah uu minerba masuk ormas agama urus tambang
2025-03-21,Ormas Saja,Negative,mensos marak ormas thr usaha
2025-01-13,Ormas Saja,Negative,unjung taman literasi ngonten izin ormas itj
2024-09-17,Ormas Saja,Neutral,pintu perintah ormas agama garap tambang buka
2025-01-15,Pemuda Pancasila (PP),Neutral,ormas pp grib bentrok blora deklarasi damai
2025-01-11,Ormas Saja,Neutral,video anies wacana bentuk ormas kabar
2025-02-18,Ormas Saja,Neutral,dpr sahkan ruu minerba ormas agama-umkm kelola tambang
2024-09-10,Ormas Saja,Neutral,hnw kolaborasi partai ormas bangsa
2022-09-16,Ormas Saja,Neutral,potret aksi save tni jelang g 30 s pki
2025-01-21,Ormas Saja,Neutral,baleg tuju ruu minerba inisiatif dpr atur ormas-kampus olah tambang
2024-12-28,Ormas Saja,Negative,rincian dana pesta ormas bekas dangdut
2024-12-29,Pemuda Pancasila (PP),Negative,ormas pp vs grib bentrok gegara spanduk belawan 1 orang dihujam sajam
2024-12-27,Ormas Saja,Negative,viral proposal ormas bekas sumbang dana pesta
2024-12-28,Ormas Saja,Neutral,ormas bekas buka suara kait viral sumbang dana pesta
2024-12-23,Ormas Saja,Negative,bentrok ormas ciledug makan korban 1 orang luka tusuk perut
2024-12-27,Ormas Saja,Negative,video viral ormas bekas anggar rp 44 juta
2024-09-07,Ormas Saja,Negative,5 fakta anggota ormas keroyok dagang jakbar sangka
2024-09-06,Ormas Saja,Negative,kronologi ormas jakbar mabuk setor keroyok dagang
2024-09-06,Ormas Saja,Negative,2 anggota ormas keroyok dagang jakbar sangka
2022-09-15,Ormas Islam,Neutral,lembaga sahabat ormas islam gelar mukernas jakarta
2024-09-04,Ormas Saja,Negative,ormas keroyok dagang buah jakbar polisi buru laku
2024-09-04,Ormas Saja,Negative,kondisi kades sendang boyolali duga aniaya pentol ormas
2024-08-31,Ormas Saja,Negative,1 orang duga provokator aman imbas bentrok ormas cianjur
2024-09-03,Ormas Saja,Negative,duga aniaya pentol ormas kades sendang boyolali masuk rs
2025-01-30,Ormas Saja,Negative,bentrok personel tni-ormas deli serdang 3 pemuda geber motor
2024-08-30,Ormas Saja,Negative,2 ormas bentrok cianjur korban kena bacok
2024-08-28,Ormas Saja,Negative,ormas debt collector cikarang lapor buntut bentrok
2024-12-20,Ormas Saja,Neutral,video polri libat ormas aman gereja natal
2024-09-04,Ormas Saja,Negative,dagang buah keroyok ormas jakbar lapak jual acak
2024-12-26,Ormas Saja,Neutral,bgn bantah kabar ormas mandat jalan program makan gizi gratis
2024-08-28,Ormas Saja,Negative,bentrok ormas vs debt collector cikarang picu tari mobil
2022-09-14,Ormas Saja,Neutral,ekspresi effendi simbolon nyata maaf tni
2024-12-10,Pemuda Pancasila (PP),Negative,ormas grib vs pp bentrok sergai 1 orang terluka-markas bakar
2024-08-28,Ormas Saja,Negative,bentrok ormas vs debt collector cikarang 2 orang luka
2024-09-04,Ormas Saja,Negative,dagang jakbar keroyok ormas gara-gara setor uang aman
2024-12-14,Pemuda Pancasila (PP),Negative,sumut pek ormas grib vs pp-wanita tewas pisau tancap perut
2025-01-13,Ormas Saja,Neutral,anggota ormas maaf viral ngonten taman literasi izin
2024-12-16,Nahdlatul Ulama (NU),Neutral,bahlil izin tambang ormas nu tinggal garap
2024-12-09,Ormas Saja,Neutral,konflik guru ngaji anggota ormas garut meja hijau
2024-12-11,Gerakan Rakyat Indonesia Bersatu (GRIB),Neutral,video polisi bentrok pemuda pancasila vs grib sergai
2024-06-13,Ormas Saja,Neutral,ormas agama kelola tambang untung buntung
2024-11-22,Ormas Saja,Neutral,terima deklarasi dukung 18 ormas rk optimis menang 1 putar
2024-08-10,Ormas Saja,Neutral,polsek pondok aren kumpul ormas ajak jaga kondusivitas jelang pilkada
2022-09-14,Ormas Saja,Negative,momen pemuda panca marga geruduk mkd dpr ri
2024-09-06,Ormas Saja,Neutral,ormas antikorupsi desak ma tolak pk mardani maming
2024-08-09,Ormas Saja,Negative,ormas way kanan bentrok gegara tambang batu bara
2024-11-19,Ormas Saja,Negative,pecah rusuh 2 ormas pekanbaru motif polisi
2024-11-19,Ormas Saja,Negative,polisi tangkap 15 pelaku-ungkap motif ribut 2 ormas pekanbaru
2024-12-27,Ormas Saja,Negative,video viral ormas bekas anggar rp 44 juta
2024-11-18,Ormas Saja,Negative,8 duga laku rusuh ormas pekanbaru tangkap kayu-cctv sita
2024-08-01,Ormas Saja,Neutral,wapres ormas kelola tambang patuh atur rusak lingkung
2024-11-11,Ormas Saja,Neutral,video ilham habibie creative center isi ormas-lsm jabar
2024-06-07,Ormas Saja,Neutral,bahlil damping ormas agama kelola tambang
2024-08-01,Ormas Saja,Neutral,wanti-wanti wapres ormas agama kelola tambang
2024-11-08,Ormas Saja,Neutral,legislator dki pemprov rutin bina ormas buntut keroyok anggota tni
2022-09-13,Ormas Saja,Neutral,potret markas batalyon 120 makassar gerebek tim polda sulsel
2024-07-29,Ormas Saja,Neutral,bahlil prabowo usul ormas non agama kelola tambang
2024-07-29,Ormas Saja,Negative,anggota ormas ngamuk kadishub batam aman maaf
2024-06-01,Ormas Saja,Neutral,alas jokowi izin ormas agama kelola tambang
2024-11-07,Ormas Saja,Negative,polisi tangkap 3 anggota ormas keroyok prajurit tni jaksel
2024-07-31,Ormas Saja,Negative,kafe bogor batal event baju pantai digeruduk ormas
2024-08-01,Ormas Saja,Neutral,wapres ormas kelola tambang rusak lingkung
2024-07-26,Ormas Saja,Neutral,komplain alas jokowi izin ormas agama kelola tambang
2024-11-03,Ormas Saja,Negative,video cctv detik prajurit tni keroyok anggota ormas jaksel
2024-11-15,Ormas Islam,Neutral,pemkab klaten tutup outlet-outlet miras ormas islam dukung
2024-05-31,Ormas Saja,Neutral,sah jokowi izin ormas agama kelola tambang
2024-05-31,Ormas Saja,Neutral,jokowi izin ormas agama kelola tambang
2022-07-18,Ormas Saja,Negative,ormas demo kemdagri-kpk gegara jabat rampas hak rakyat
2024-05-31,Ormas Saja,Neutral,tok jokowi izin ormas agama kelola tambang
2024-07-30,Ormas Saja,Neutral,maaf anggota ormas ngamuk kadishub batam
2024-11-02,Ormas Saja,Negative,5 anggota ormas keroyok prajurit tni ngopi
2024-11-02,Ormas Saja,Negative,keroyok anggota ormas prajurit tni jaksel bacok
2024-07-24,Ormas Saja,Neutral,3 fakta atur jokowi mulus izin tambang ormas
2024-07-27,Ormas Saja,Neutral,nyata alas jokowi izin ormas agama kelola tambang
2024-07-23,Ormas Saja,Negative,2 ormas tangsel ribut picu rebut lahan pungli
2024-10-29,Ormas Saja,Negative,video heboh rm padang razia ormas gegara harga murah
2024-07-23,Nahdlatul Ulama (NU),Neutral,catat ormas agama kelola tambang wajib penuh syarat
2024-08-06,Ormas Saja,Negative,polisi anggota tni medan bacok markas ormas
2024-07-20,Ormas Saja,Neutral,anies terima deklarasi dukung ormas bang japar pilgub jakarta
