date,ormas_mentioned,sentiment,headline,headline_stem,label,x,y
2025-02-11,Ormas Saja,Negative,Premanisme Ormas Juga Ganggu Investasi di Jabar,preman ormas ganggu investasi jabar,2,3.3673923,12.349872
2025-03-19,Ormas Saja,Negative,Pengusaha Ngeluh Banyak Ormas Minta THR,usaha ngeluh ormas thr,3,2.9785104,11.121419
2025-03-20,Ormas Saja,Negative,"Heboh Ormas Minta THR, Pengusaha: Jangan Maksa!",heboh ormas thr usaha maksa,2,2.7973561,10.907452
2025-01-14,Ormas Saja,Negative,"Ricuh Ormas di Blora, Polisi Turun Tangan",ricuh ormas blora polisi turun tangan,0,-1.096113,11.169476
2025-01-15,Ormas Saja,Negative,Fakta-fakta Ricuh Ormas di Karangjati Blora,fakta ricuh ormas karangjati blora,2,1.8830153,9.000408
2025-04-19,Ormas Islam,Positive,"Koster-Giri Hadiri Halal Bihalal Ormas Islam, Beberkan Program Prioritas",koster-giri hadir halal bihalal ormas islam program prioritas,4,2.8308258,4.9422913
2025-04-18,Ormas Saja,Negative,Video: Kronologi Mobil Polisi Dibakar Massa saat Penangkapan Pelaku Penganiayaan di Depok,video kronologi mobil polisi bakar massa tangkap laku aniaya depok,0,-1.0784032,12.223904
2025-03-14,Ormas Saja,Neutral,Pemerintah Akan Tindak Ormas Preman yang Ganggu Investasi,perintah tindak ormas preman ganggu investasi,3,3.6593227,11.92735
2025-03-14,Ormas Saja,Neutral,Polri Akan Tindak Tegas Premanisme Berkedok Ormas yang Ganggu Investasi,polri tindak preman kedok ormas ganggu investasi,3,3.371583,12.34803
2025-03-15,Ormas Saja,Negative,Wamenperin Ingatkan Oknum Ormas Tak Minta THR ke Pabrik!,wamenperin oknum ormas thr pabrik,0,2.1190677,9.979037
2024-10-19,Ormas Saja,Positive,Potret Tasyakuran Relawan Jelang Pelantikan Prabowo-Gibran,potret tasyakur rawan jelang lantik prabowo-gibran,0,2.587619,9.519416
2025-03-15,Ormas Saja,Neutral,"Alasan Izin Tambang untuk Ormas Agama, Bahlil: Jangan Cuma Konglomerat",alas izin tambang ormas agama bahlil konglomerat,4,1.1341746,5.9631352
2025-03-11,Ormas Saja,Neutral,Menaker Buka Suara soal Aksi Ormas di Kawasan Industri,menaker buka suara aksi ormas kawasan industri,3,3.0515878,10.674641
2025-03-14,Ormas Saja,Neutral,Pemerintah Akan Kumpulkan Data Ormas yang Ganggu Investasi,perintah kumpul data ormas ganggu investasi,3,3.7580988,11.48985
2025-03-06,Ormas Saja,Negative,Asosiasi Leasing Ungkap Praktik Oknum Ormas Kuasai Kendaraan Belum Lunas,asosiasi leasing praktik oknum ormas kuasa kendara lunas,3,3.0307133,11.051378
2025-03-15,Ormas Saja,Negative,"Ogah Dipalak, Petugas Kabel Wi-Fi Dianiaya Anggota Ormas",ogah palak tugas kabel wi-fi aniaya anggota ormas,2,1.8952447,9.224514
2025-03-15,Ormas Saja,Neutral,"Perusahaan Respons Aksi Ormas di Kawasan Industri, Minta Kepastian Hukum",usaha respons aksi ormas kawasan industri hukum,3,3.6955392,11.839604
2025-03-04,Ormas Saja,Neutral,Ormas di Lebak Bantah Serobot Lahan Petani untuk Bangun Sekret,ormas lebak bantah serobot lahan tani bangun sekret,0,0.9257629,9.657998
2025-04-18,Ormas Saja,Negative,Video: Massa Bakar dan Rusak 3 Mobil Polisi yang Hendak Amankan Pelaku Penganiayaan di Depok,video massa bakar rusak 3 mobil polisi aman laku aniaya depok,0,-1.0203981,12.081734
2025-03-04,Ormas Saja,Negative,3 Bulan Petani Lebak Tak Garap Lahan Gegara Diserobot Ormas,3 tani lebak garap lahan gegara serobot ormas,0,0.84234226,9.529818
2025-02-28,Ormas Saja,Neutral,"Ormas Gerakan Rakyat Berdiri Bareng Anies, Golkar: Kita Tunggu Kiprahnya",ormas gera rakyat bareng anies golkar tunggu kiprah,3,3.288166,10.221713
2025-02-28,Ormas Saja,Positive,Saat Anies Dijadikan Tokoh Inspirasi oleh Ormas Gerakan Rakyat,anies tokoh inspirasi ormas gera rakyat,3,3.4755526,10.420619
2024-10-01,Nahdlatul Ulama (NU),Positive,Potret CT Bersama Pimpinan NU-Muhammadiyah Silaturahami ke PM Anwar Ibrahim,potret ct pimpin nu-muhammadiyah silaturahami pm anwar ibrahim,4,3.3119817,6.0291734
2025-03-14,Ormas Saja,Negative,Mantan Ketua Ormas di Surabaya Ditangkap Terkait Pencabulan Anak,mantan ketua ormas surabaya tangkap kait cabul anak,2,-1.6083924,9.364881
2025-02-27,Ormas Saja,Positive,"Anies Hadiri Deklarasi Ormas Gerakan Rakyat, Jadi Tokoh Inspirasi",anies hadir deklarasi ormas gera rakyat tokoh inspirasi,3,3.4810886,10.4601755
2025-02-27,Ormas Saja,Neutral,Respons Anies soal Ormas Gerakan Rakyat Berpotensi Jadi Parpol Pengusungnya,respons anies ormas gera rakyat potensi parpol usung,3,3.5996659,10.427353
2025-02-28,Ormas Saja,Neutral,"Ormas Gerakan Rakyat Berdiri Bareng Anies, Ahok Punya Titipan Khusus",ormas gera rakyat bareng anies ahok titip khusus,3,3.344819,10.397826
2025-02-27,Ormas Saja,Neutral,Ormas Gerakan Rakyat Jadi Parpol Pengusung di 2029? Anies: Kejauhan,ormas gera rakyat parpol usung 2029 anies,3,4.099591,10.605283
2024-12-20,Ormas Saja,Positive,Ormas Keagamaan Dilibatkan Amankan Nataru di Lamongan,ormas agama libat aman nataru lamongan,0,1.0040909,9.782999
2025-03-02,Ormas Saja,Neutral,PKS Tak Masalah Ormas Gerakan Rakyat Gunakan Warna Oranye: Monggo,pks ormas gera rakyat warna oranye monggo,3,3.0920293,10.32291
2025-03-25,Ormas Saja,Negative,Video: Viral Pria Ngaku Anggota Ormas Minta THR ke Tukang Cukur di Jaksel,video viral pria ngaku anggota ormas thr tukang cukur jaksel,0,0.13851276,11.7737055
2025-03-03,Ormas Saja,Negative,"Merasa Lahan Diserobot Ormas, Kelompok Petani di Lebak Lapor Polisi",lahan serobot ormas kelompok tani lebak lapor polisi,0,-0.75023437,11.160608
2025-02-21,Ormas Saja,Neutral,"Polisi Tepis Kabar Bentrok Ormas di Terminal Cikarang, Ini Faktanya",polisi tepis kabar bentrok ormas terminal cikarang fakta,0,-1.1935905,11.108492
2025-02-19,Muhammadiyah,Positive,"Prabowo Ajak Ormas Agama Awasi Danantara, Muhammadiyah: Kita Sambut Gembira",prabowo ajak ormas agama awas danantara muhammadiyah sambut gembira,4,2.916193,5.613506
2024-06-27,Ormas Saja,Neutral,Diskusi Bahas RUU Polri untuk Perkuat Kinerja Institusi,diskusi bahas ruu polri kuat kerja institusi,3,4.2295856,11.451019
2025-02-20,Ormas Saja,Neutral,Ormas yang Ganggu Investasi di Jabar Bakal Dibasmi,ormas ganggu investasi jabar basmi,0,3.371928,12.289327
2025-02-21,Ormas Saja,Neutral,Dedi Mulyadi ingin Berantas Premanisme dan Ormas Tak Jelas,dedi mulyadi berantas preman ormas,2,1.9211651,6.541594
2025-02-11,Ormas Saja,Negative,Kemenperin Benarkan Premanisme Ormas Jadi Sebab Investasi Terhambat,kemenperin preman ormas investasi hambat,3,3.3560205,12.367285
2025-02-13,Ormas Saja,Neutral,"Hadiri Muktamar IDI, Yusril Jelaskan  Organisasi Profesi Berbeda dengan Ormas",hadir muktamar idi yusril organisasi profesi beda ormas,3,2.8681684,11.082829
2025-02-14,Ormas Saja,Positive,Polda Metro Ajak Ormas Ciptakan Situasi Kondusif Jelang Ramadan,polda metro ajak ormas cipta situasi kondusif jelang ramadan,1,9.026221,8.977756
2025-02-11,Ormas Saja,Negative,Kemenperin Benarkan Premanisme Ormas Gagalkan Investasi Ratusan Triliun,kemenperin preman ormas gagal investasi ratus triliun,3,3.3698957,12.3831215
2025-02-10,Ormas Saja,Negative,"Investasi Ratusan Triliun Melayang Gegara Premanisme Ormas, BKPM Buka Suara",investasi ratus triliun layang gegara preman ormas bkpm buka suara,2,3.3616014,12.372633
2025-03-21,Ormas Saja,Neutral,Video Menhub soal Ormas Larang Dirikan Posko Mudik: Serahkan ke Pemda-Polisi,video menhub ormas larang posko mudik serah pemda-polisi,0,0.8420148,11.498207
2025-02-11,Ormas Saja,Negative,"Heboh Ormas Ganggu Investasi Ratusan Triliun, Rosan: Perlu Ada Diskusi",heboh ormas ganggu investasi ratus triliun ros diskusi,3,2.926048,9.604953
2025-02-24,Ormas Saja,Positive,"Peluncuran Danantara Dihadiri Ketum Parpol, Ormas Agama hingga Tokoh Ekonomi",luncur danantara hadir tum parpol ormas agama tokoh ekonomi,3,1.0940028,9.415648
2025-02-12,Ormas Saja,Neutral,Festival Nonhalal di Solo Tetap Digelar Meski Ditolak Ormas,festival nonhalal solo gelar tolak ormas,3,1.3659073,7.9740324
2024-05-27,Ormas Saja,Neutral,Massa Beraksi Depan KPK Terkait Kuota Haji,massa aksi kpk kait kuota haji,4,3.3215933,5.5880084
2025-03-10,Ormas Saja,Negative,Video Momen Wabup Garut Tegur Ormas Razia Warung saat Puasa,video momen wabup garut tegur ormas razia warung puasa,2,0.8639841,8.352677
2025-02-18,Ormas Saja,Positive,"RUU Minerba Disahkan, UMKM-Ormas Keagamaan Diprioritaskan Dapat Izin Tambang",ruu minerba sah umkm-ormas agama prioritas izin tambang,3,4.215042,12.222453
2025-02-06,Ormas Saja,Negative,Pengusaha Surati Prabowo Keluhkan Ormas Minta Jatah di Kawasan Industri,usaha surati prabowo keluh ormas jatah kawasan industri,2,2.9259152,11.069842
2025-02-19,Ormas Saja,Positive,"UMKM, Ormas, dan Koperasi Diprioritaskan Dapat Izin Usaha Tambang",umkm ormas koperasi prioritas izin usaha tambang,0,2.0705273,10.1398
2025-02-12,Ormas Saja,Neutral,"Ditolak Ormas, Gelaran Festival Nonhalal di Solo Tetap Digelar",tolak ormas gelar festival nonhalal solo gelar,0,1.3807459,7.987381
2025-01-30,Ormas Saja,Neutral,Bentrok Personel TNI dengan Ormas di Deli Serdang Berakhir Damai,bentrok personel tni ormas deli serdang damai,0,0.30127898,10.60449
2025-01-23,Ormas Saja,Negative,"Polemik Perlintasan Ciroyom, Ditutup KAI-Dibuka Sepihak Ormas",polemik lintas ciroyom tutup kai-dibuka ormas,2,2.947835,8.096147
2025-03-21,Ormas Saja,Negative,Video: Pria Mengaku Anggota Ormas di Cikarang Ngamuk Larang Pendirian Posko Mudik,video pria anggota ormas cikarang ngamuk larang posko mudik,2,0.87505376,11.349726
2025-01-22,Nahdlatul Ulama (NU),Positive,"PBNU: Konsesi Tambang untuk Ormas Niat Baik Pemerintah, Pahalanya Banyak",pbnu konsesi tambang ormas niat perintah pahala,3,3.627735,11.013993
2024-08-14,Ormas Saja,Neutral,Tarik Tambang Ormas Agama,tarik tambang ormas agama,4,1.0886056,6.0475016
2025-01-22,Nahdlatul Ulama (NU),Neutral,Legislator PDIP ke NU-Muhammadiyah: Adilkah Ormas Diberi Prioritas Tambang?,legislator pdip nu-muhammadiyah adil ormas prioritas tambang,4,3.5656934,5.7228484
2023-11-17,Ormas Saja,Neutral,Massa Bela Palestina Demo di Surabaya  Sasar Restoran Cepat Saji,massa bela palestina demo surabaya sasar restoran cepat saji,4,4.132033,3.216837
2025-03-22,Ormas Saja,Negative,Tanggapan Bima Arya soal Ormas Minta THR Jelang Lebaran,tanggap bima arya ormas thr jelang lebaran,2,1.1261312,9.520218
2025-01-18,Ormas Saja,Neutral,Jawab Jokowi soal Isu Gibran Gabung Ormas Pendiri Golkar,jokowi isu gibran gabung ormas golkar,2,3.0890563,8.66541
2025-03-22,Ormas Saja,Negative,Penyebab Ormas Ngamuk hingga Buang Sampah di Kantor Dinkes Bekasi,ormas ngamuk buang sampah kantor dinkes bekas,0,1.2931654,10.336016
2025-01-14,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,Video: Ormas Pemuda Pancasila Geruduk Markas GRIB di Blora,video ormas pemuda pancasila geruduk markas grib blora,2,1.3175169,12.068144
2025-03-21,Ormas Saja,Neutral,Polres Probolinggo Bentuk Satgas Antisipasi Premanisme Berkedok Ormas,polres probolinggo bentuk satgas antisipasi preman kedok ormas,0,1.0098519,9.797438
2025-03-17,Ormas Saja,Negative,"Gangguan Ormas di Kawasan Industri, Waka MPR Minta Aparat Bertindak",ganggu ormas kawasan industri waka mpr aparat tindak,0,-0.49150985,10.999574
2025-03-17,Ormas Saja,Negative,Video: Bupati Subang Akui Banyak Investor Urungkan Niat gegara Premanisme,video bupati subang investor urung niat gegara preman,3,3.3434393,12.391428
2025-03-20,Ormas Saja,Negative,Video: Heboh Sekelompok Anggota LSM Ngamuk di Kantor Dinkes Kabupaten Bekasi,video heboh kelompok anggota lsm ngamuk kantor dinkes kabupaten bekas,3,3.2851083,10.525482
2025-03-20,Ormas Saja,Negative,Kapolres Bogor Tegaskan Bakal Tindak Ormas Paksa Minta THR,kapolres bogor tindak ormas paksa thr,0,0.8175883,9.840299
2025-03-19,Ormas Saja,Negative,"Asosiasi Pembiayaan Keluhkan Aksi Ormas 'Preman', Ganggu Industri",asosiasi biaya keluh aksi ormas preman ganggu industri,3,3.0702593,11.158488
2023-09-19,Ormas Saja,Neutral,LSI Rilis Hasil Survei Suara Ormas dan Partai Islam di Pilpres 2024,lsi rilis hasil survei suara ormas partai islam pilpres 2024,4,3.2312865,4.8006763
2025-03-17,Ormas Saja,Neutral,Jurus Polda Jateng Berantas Premanisme Berkedok Ormas Jelang Lebaran,jurus polda jateng berantas preman kedok ormas jelang lebaran,0,1.0058196,9.840268
2025-03-26,Ormas Saja,Negative,"Ada Oknum Ormas Minta THR, BKPM: Efeknya Negatif!",oknum ormas thr bkpm efek negatif,0,4.460399,8.013583
2025-01-13,Ormas Saja,Neutral,Politikus NasDem Dukung Anies Dirikan Ormas: Supaya Warnanya Jelas,politikus nasdem dukung anies ormas warna,3,2.980341,10.29626
2025-01-13,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,Ormas Pemuda Pancasila Geruduk Markas GRIB di Blora,ormas pemuda pancasila geruduk markas grib blora,2,1.2924502,12.061089
2025-01-18,Ormas Saja,Neutral,Kabar Spekulasi Gibran Merapat ke Ormas Pendiri Golkar,kabar spekulasi gibran rapat ormas golkar,0,1.2718226,6.5583005
2025-03-19,Ormas Saja,Negative,"Video: Viral Ormas Minta THR ke Pengusaha, Ini Kata Wamenag",video viral ormas thr usaha wamenag,0,0.44350916,11.850791
2025-01-15,Pemuda Pancasila (PP),Negative,Polisi Selidiki Motif Bentrok Ormas PP Vs GRIB di Bandung,polisi selidik motif bentrok ormas pp vs grib bandung,0,-1.141691,10.961925
2025-01-15,Ormas Saja,Negative,12 Orang Luka-luka dalam Bentrok 2 Ormas di Blora,12 orang luka bentrok 2 ormas blora,0,0.41428027,10.131773
2025-01-11,Ormas Saja,Neutral,"Anies soal Bakal Luncurkan Ormas: Ada Kabar, Diumumkan",anies luncur ormas kabar,3,1.6557186,9.815678
2023-08-01,Ormas Saja,Neutral,Momen Peringatan Hari Pattimura di Bogor,momen pattimura bogor,2,1.5212976,9.049422
2025-01-15,Ormas Saja,Negative,Polisi Tangkap 19 Orang Buntut Bentrokan 2 Ormas di Blora,polisi tangkap 19 orang buntut bentrok 2 ormas blora,0,-1.2612674,11.553598
2025-01-09,Ormas Saja,Neutral,"Jubir Ungkap Anies Bakal Buat Ormas, Pendukung Ikut Dilibatkan",jubir anies ormas dukung libat,0,1.5614632,9.690236
2025-01-15,Ormas Saja,Negative,Anggota 2 Ormas Bentrok di Blora hingga Mobil Rusak,anggota 2 ormas bentrok blora mobil rusak,0,0.97579,10.764729
2025-01-11,Ormas Saja,Neutral,Video Anies soal Wacana Bentuk Ormas: Begitu Ada Kabar Diumumkan,video anies wacana bentuk ormas kabar,0,0.8979761,11.453496
2025-01-16,Pemuda Pancasila (PP),Negative,"Bentrok Ormas PP dan GRIB di Bandung, Ini 4 Faktanya",bentrok ormas pp grib bandung 4 fakta,2,2.160353,10.056916
2025-01-09,Ormas Saja,Negative,Heboh Camat Asemrowo Digeruduk Ormas Dituding Sembunyikan Wanita,heboh camat asemrowo digeruduk ormas tuding sembunyi wanita,2,-0.9728849,9.786802
2024-12-23,Nahdlatul Ulama (NU),Negative,Polisi Ungkap Bentrokan di Ciledug Dipicu Penurunan Bendera Ormas,polisi bentrok ciledug picu turun bendera ormas,0,-1.4324027,10.974395
2025-03-10,Ormas Saja,Negative,Video Momen Wabup Garut Tegur Ormas Razia Warung saat Puasa,video momen wabup garut tegur ormas razia warung puasa,2,0.8714887,8.338256
2024-12-23,Ormas Saja,Positive,Tahun Ini Ormas Keagamaan Dapat Jalur Khusus Kelola Tambang,ormas agama jalur khusus kelola tambang,0,1.0480255,9.697517
2025-03-19,Ormas Saja,Negative,"Video: Viral Ormas Minta THR ke Pengusaha, Ini Kata Wamenag",video viral ormas thr usaha wamenag,0,0.46396273,11.8820305
2024-12-20,Ormas Saja,Positive,Video: Polri Bakal Libatkan Ormas Amankan Gereja saat Natal,video polri libat ormas aman gereja natal,3,-0.20511797,4.9813576
2023-07-17,Ormas Saja,Positive,"Peluncuran Buku ""Nilai-Nilai Kebajikan dalam Jamaah LDII""",luncur buku nilai kebaji jamaah ldii,3,2.620381,9.788756
2025-01-15,Pemuda Pancasila (PP),Negative,"Video: Markas Ormas PP di Bandung Diserang, 6 Orang Luka",video markas ormas pp bandung serang 6 orang luka,2,2.0140405,10.319901
2024-12-12,Ormas Saja,Positive,"Jelang Natal, Walkot Eri Libatkan Ormas Bantu Jaga Keamanan Gereja",jelang natal walkot eri libat ormas bantu jaga aman gereja,0,-0.1777563,5.010582
2024-12-10,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,Penyebab 2 Ormas Bentrok di Sergai hingga Markas Grib Dibakar,2 ormas bentrok sergai markas grib bakar,0,0.98237103,10.364169
2024-12-09,Ormas Saja,Negative,"Saling Lapor, Konflik Guru Ngaji dan Ormas Garut Masuk Pengadilan",lapor konflik guru ngaji ormas garut masuk adil,0,-0.00014342465,9.938778
2024-12-04,Ormas Saja,Negative,"Guru Ngaji Terlibat Pertikaian dengan Ormas di Garut, Ini Kronologinya",guru ngaji libat tikai ormas garut kronologi,2,1.4847788,9.048013
2024-12-02,Ormas Saja,Negative,Pj Walkot Pekanbaru Terjaring OTT Jabat Direktur Ormas di Kemendagri,pj walkot pekanbaru jaring ott jabat direktur ormas kemendagri,2,4.040672,8.770616
2024-11-18,Ormas Saja,Negative,"2 Ormas Bentrok di Pekanbaru, Polisi Bakal Usut Tuntas",2 ormas bentrok pekanbaru polisi usut tuntas,0,-0.99069476,11.351458
2025-02-13,Ormas Saja,Neutral,"Video: Ormas Geruduk Festival Kuliner Nonhalal di Solo, Ini Pesan Wali Kota",video ormas geruduk festival kuliner nonhalal solo pesan wali kota,2,1.4370812,8.081977
2024-11-07,Ormas Saja,Negative,Bentrok Ormas Berujung Aksi Pembakaran Kini Diusut Polisi,bentrok ormas ujung aksi bakar usut polisi,0,-1.0505313,12.265928
2025-03-15,Nahdlatul Ulama (NU),Negative,Kronologi Petugas Wi-Fi Dikeroyok Oknum Ormas di Depok gegara Ogah Dipalak,kronologi tugas wi-fi keroyok oknum ormas depok gegara ogah palak,2,1.9070336,9.152229
2024-11-06,Ormas Saja,Negative,"Bentrokan 2 Kelompok Ormas di Setu Tangsel, Posko Dibakar",bentrok 2 kelompok ormas setu tangsel posko bakar,0,0.6505867,10.038804
2023-07-05,Ormas Saja,Positive,Donor Darah Sambut HUT Bhayangkara,donor darah sambut hut bhayangkara,2,0.37852058,6.4918933
2024-11-06,Ormas Saja,Negative,Polisi Selidiki Bentrokan Ormas Berujung Pembakaran Posko di Tangsel,polisi selidik bentrok ormas ujung bakar posko tangsel,0,-1.0732362,12.279507
2025-03-10,Pemuda Pancasila (PP),Negative,"Anggota Nongol Saat Ormas Sweeping Warung, Ini Kata Kasatpol PP Garut",anggota nongol ormas sweeping warung kasatpol pp garut,0,1.8543004,9.753579
2025-03-15,Nahdlatul Ulama (NU),Negative,Oknum Ormas Aniaya Petugas Kabel Wi-Fi di Depok gegara Korban Ogah Dipalak,oknum ormas aniaya tugas kabel wi-fi depok gegara korban ogah palak,2,1.9292623,9.23504
2025-03-09,Pemuda Pancasila (PP),Negative,"Aksi Sweeping Warung di Garut, Polisi Periksa Ormas hingga Satpol PP",aksi sweeping warung garut polisi periksa ormas satpol pp,0,-0.68094987,11.028108
2025-02-28,Ormas Saja,Neutral,Ormas Gerakan Rakyat Bisa Jadi Mesin Politik Anies? PAN: Hak Warga Negara,ormas gera rakyat mesin politik anies pan hak warga negara,3,3.9320488,10.632381
2025-02-28,Ormas Saja,Positive,"Anies Jadi Tokoh Sentral di Ormas Gerakan Rakyat, PKS Sambut Terbuka",anies tokoh sentral ormas gera rakyat pks sambut buka,3,3.6047955,10.4243765
2025-02-28,Pemuda Pancasila (PP),Neutral,Bos PPI Yakin Ormas Gerakan Rakyat Jadi Ancang-ancang Anies Nyapres 2029,bos ppi ormas gera rakyat ancang anies nyapres 2029,3,4.6047974,10.243632
