date,headline,ormas,sentiment,headline_stem
2025-04-21 22:41:00,Ormas Depok Aniaya Polisi-Bakar Mobil gegara Tak Terima Ketua Diringkus,Ormas Saja,Negative,ormas depok aniaya polisi-bakar mobil gegara tak terima ketua ringkus
2025-04-21 22:11:00,Polda Metro: Negara Tak Boleh Kalah dengan Aksi Premanisme Berkedok Ormas,Ormas Saja,Negative,polda metro negara tak boleh kalah dengan aksi preman kedok ormas
2025-04-21 21:46:00,Mobil Polres Depok Dibakar Saat Tangkap Ketua Ormas GRIB Jaya Harjamukti,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,mobil polres depok bakar saat tangkap ketua ormas grib jaya harjamukti
2025-01-13 18:30:00,Potret Taman Literasi yang Viral gegara Oknum Ormas Larang Warga Bikin Konten,Ormas Saja,Negative,potret taman literasi yang viral gegara oknum ormas larang warga bikin konten
2025-04-21 21:01:00,Perintah Bakar Mobil Polisi Dikeluarkan Ketua Ormas di Depok Saat Ditangkap,Ormas Saja,Negative,perintah bakar mobil polisi keluar ketua ormas di depok saat tangkap
2025-04-21 20:59:00,Anggota Ormas Depok Pecahkan Kaca Mobil-Tarik Paksa Briptu Z dari Jendela,Ormas Saja,Negative,anggota ormas depok pecah kaca mobil-tarik paksa briptu z dari jendela
2025-04-21 20:02:00,"Makam Ki Ageng Manggir di Blora Mau Dibongkar Ormas, Disangka Makam Palsu",Ormas Saja,Neutral,makam ki ageng manggir di blora mau bongkar ormas sangka makam palsu
2025-04-21 14:02:00,"Pembangunan Diganggu Ormas, Pabrik BYD di Subang Bakal Jadi yang Terbesar di ASEAN",Ormas Saja,Neutral,bangun ganggu ormas pabrik byd di subang bakal jadi yang besar di asean
2025-04-21 12:56:00,"Wanita Pengurus Ormas Ditangkap di Kasus Mobil Polisi Dibakar, Peran Penghasut",Ormas Saja,Negative,wanita urus ormas tangkap di kasus mobil polisi bakar peran hasut
2025-04-21 11:28:00,"Ini Peran 5 Pembakar Mobil Polisi di Depok, Ada Pengurus Ormas",Ormas Saja,Negative,ini peran 5 bakar mobil polisi di depok ada urus ormas
2025-04-18 08:15:00,Saweran ke DJ Nathalie Holscher di THM Sidrap Tuai Kecaman Ormas Islam,Ormas Islam,Negative,sawer ke dj nathalie holscher di thm sidrap tuai kecam ormas islam
2025-04-19 06:55:00,Video: Penangkapan Ketua Ormas yang Bikin Mobil Polisi Dibakar di Depok,Ormas Saja,Negative,video tangkap ketua ormas yang bikin mobil polisi bakar di depok
2025-03-03 20:32:00,Wamenaker Ungkap Problem yang Dihadapi Pabrik di RI: Proposal Ormas-ormas,Ormas Saja,Negative,wamenaker ungkap problem yang hadap pabrik di ri proposal ormas-ormas
2025-03-15 12:00:00,Ormas Preman yang Ganggu Investasi Bakal Ditindak,Ormas Saja,Neutral,ormas preman yang ganggu investasi bakal tindak
2025-04-17 13:00:00,Ormas Islam Minta Pemkab Sidrap Tertibkan THM Lokasi DJ Nathalie Disawer,Ormas Islam,Neutral,ormas islam minta pemkab sidrap tertib thm lokasi dj nathalie sawer
2024-12-25 19:11:00,Ulama LPOI Minta Pemerintah Turunkan Pajak,Ormas Saja,Neutral,ulama lpoi minta perintah turun pajak
2024-12-25 19:00:00,"Kapolri Hadiri Silaturahmi Ormas-Halal Bihalal MUI, Bentuk Komitmen Ukhuwah Bangsa",Ormas Saja,Positive,kapolri hadir silaturahmi ormas-halal bihalal mui bentuk komitmen ukhuwah bangsa
2025-02-11 15:15:00,Premanisme Ormas Juga Ganggu Investasi di Jabar,Ormas Saja,Negative,preman ormas juga ganggu investasi di jabar
2025-03-19 22:03:00,Pengusaha Ngeluh Banyak Ormas Minta THR,Ormas Saja,Negative,usaha ngeluh banyak ormas minta thr
2025-03-20 09:00:00,"Heboh Ormas Minta THR, Pengusaha: Jangan Maksa!",Ormas Saja,Negative,heboh ormas minta thr usaha jangan maksa
2025-01-14 23:20:00,"Ricuh Ormas di Blora, Polisi Turun Tangan",Ormas Saja,Negative,ricuh ormas di blora polisi turun tangan
2025-01-15 06:45:00,Fakta-fakta Ricuh Ormas di Karangjati Blora,Ormas Saja,Negative,fakta ricuh ormas di karangjati blora
2025-04-19 14:18:00,"Koster-Giri Hadiri Halal Bihalal Ormas Islam, Beberkan Program Prioritas",Ormas Islam,Positive,koster-giri hadir halal bihalal ormas islam kan program prioritas
2025-04-18 16:04:00,Video: Kronologi Mobil Polisi Dibakar Massa saat Penangkapan Pelaku Penganiayaan di Depok,Ormas Saja,Negative,video kronologi mobil polisi bakar massa saat tangkap laku aniaya di depok
2025-03-14 14:52:00,Pemerintah Akan Tindak Ormas Preman yang Ganggu Investasi,Ormas Saja,Neutral,perintah akan tindak ormas preman yang ganggu investasi
2025-03-14 20:33:00,Polri Akan Tindak Tegas Premanisme Berkedok Ormas yang Ganggu Investasi,Ormas Saja,Neutral,polri akan tindak tegas preman kedok ormas yang ganggu investasi
2025-03-15 19:15:00,Wamenperin Ingatkan Oknum Ormas Tak Minta THR ke Pabrik!,Ormas Saja,Negative,wamenperin ingat oknum ormas tak minta thr ke pabrik
2024-10-19 22:51:00,Potret Tasyakuran Relawan Jelang Pelantikan Prabowo-Gibran,Ormas Saja,Positive,potret tasyakur rawan jelang lantik prabowo-gibran
2025-03-15 16:03:00,"Alasan Izin Tambang untuk Ormas Agama, Bahlil: Jangan Cuma Konglomerat",Ormas Saja,Neutral,alas izin tambang untuk ormas agama bahlil jangan cuma konglomerat
2025-03-11 22:17:00,Menaker Buka Suara soal Aksi Ormas di Kawasan Industri,Ormas Saja,Neutral,menaker buka suara soal aksi ormas di kawasan industri
2025-03-14 11:44:00,Pemerintah Akan Kumpulkan Data Ormas yang Ganggu Investasi,Ormas Saja,Neutral,perintah akan kumpul data ormas yang ganggu investasi
2025-03-06 10:38:00,Asosiasi Leasing Ungkap Praktik Oknum Ormas Kuasai Kendaraan Belum Lunas,Ormas Saja,Negative,asosiasi leasing ungkap praktik oknum ormas kuasa kendara belum lunas
2025-03-15 21:30:00,"Ogah Dipalak, Petugas Kabel Wi-Fi Dianiaya Anggota Ormas",Ormas Saja,Negative,ogah palak tugas kabel wi-fi aniaya anggota ormas
2025-03-15 04:29:00,"Perusahaan Respons Aksi Ormas di Kawasan Industri, Minta Kepastian Hukum",Ormas Saja,Neutral,usaha respons aksi ormas di kawasan industri minta pasti hukum
2025-03-04 16:00:00,Ormas di Lebak Bantah Serobot Lahan Petani untuk Bangun Sekret,Ormas Saja,Neutral,ormas di lebak bantah serobot lahan tani untuk bangun sekret
2025-04-18 15:14:00,Video: Massa Bakar dan Rusak 3 Mobil Polisi yang Hendak Amankan Pelaku Penganiayaan di Depok,Ormas Saja,Negative,video massa bakar dan rusak 3 mobil polisi yang hendak aman laku aniaya di depok
2025-03-04 13:59:00,3 Bulan Petani Lebak Tak Garap Lahan Gegara Diserobot Ormas,Ormas Saja,Negative,3 bulan tani lebak tak garap lahan gegara serobot ormas
2025-02-28 05:26:00,"Ormas Gerakan Rakyat Berdiri Bareng Anies, Golkar: Kita Tunggu Kiprahnya",Ormas Saja,Neutral,ormas gera rakyat diri bareng anies golkar kita tunggu kiprah
2025-02-28 09:25:00,Saat Anies Dijadikan Tokoh Inspirasi oleh Ormas Gerakan Rakyat,Ormas Saja,Positive,saat anies jadi tokoh inspirasi oleh ormas gera rakyat
2024-10-01 15:55:00,Potret CT Bersama Pimpinan NU-Muhammadiyah Silaturahami ke PM Anwar Ibrahim,Nahdlatul Ulama (NU),Positive,potret ct sama pimpin nu-muhammadiyah silaturahami ke pm anwar ibrahim
2025-03-14 19:20:00,Mantan Ketua Ormas di Surabaya Ditangkap Terkait Pencabulan Anak,Ormas Saja,Negative,mantan ketua ormas di surabaya tangkap kait cabul anak
2025-02-27 15:25:00,"Anies Hadiri Deklarasi Ormas Gerakan Rakyat, Jadi Tokoh Inspirasi",Ormas Saja,Positive,anies hadir deklarasi ormas gera rakyat jadi tokoh inspirasi
2025-02-27 20:00:00,Respons Anies soal Ormas Gerakan Rakyat Berpotensi Jadi Parpol Pengusungnya,Ormas Saja,Neutral,respons anies soal ormas gera rakyat potensi jadi parpol usung
2025-02-28 06:15:00,"Ormas Gerakan Rakyat Berdiri Bareng Anies, Ahok Punya Titipan Khusus",Ormas Saja,Negative,ormas gera rakyat diri bareng anies ahok punya titip khusus
2025-02-27 15:30:00,Ormas Gerakan Rakyat Jadi Parpol Pengusung di 2029? Anies: Kejauhan,Ormas Saja,Neutral,ormas gera rakyat jadi parpol usung di 2029 anies jauh
2024-12-20 20:20:00,Ormas Keagamaan Dilibatkan Amankan Nataru di Lamongan,Ormas Saja,Positive,ormas agama libat aman nataru di lamongan
2025-03-02 17:43:00,PKS Tak Masalah Ormas Gerakan Rakyat Gunakan Warna Oranye: Monggo,Ormas Saja,Neutral,pks tak masalah ormas gera rakyat guna warna oranye monggo
2025-03-25 08:40:00,Video: Viral Pria Ngaku Anggota Ormas Minta THR ke Tukang Cukur di Jaksel,Ormas Saja,Negative,video viral pria ngaku anggota ormas minta thr ke tukang cukur di jaksel
2025-03-03 13:50:00,"Merasa Lahan Diserobot Ormas, Kelompok Petani di Lebak Lapor Polisi",Ormas Saja,Negative,rasa lahan serobot ormas kelompok tani di lebak lapor polisi
2025-02-21 14:37:00,"Polisi Tepis Kabar Bentrok Ormas di Terminal Cikarang, Ini Faktanya",Ormas Saja,Neutral,polisi tepis kabar bentrok ormas di terminal cikarang ini fakta
2025-02-19 07:41:00,"Prabowo Ajak Ormas Agama Awasi Danantara, Muhammadiyah: Kita Sambut Gembira",Muhammadiyah,Positive,prabowo ajak ormas agama awas danantara muhammadiyah kita sambut gembira
2024-06-27 17:20:00,Diskusi Bahas RUU Polri untuk Perkuat Kinerja Institusi,Ormas Saja,Negative,diskusi bahas ruu polri untuk kuat kerja institusi
2025-02-20 14:13:00,Ormas yang Ganggu Investasi di Jabar Bakal Dibasmi,Ormas Saja,Negative,ormas yang ganggu investasi di jabar bakal basmi
2025-02-21 15:00:00,Dedi Mulyadi ingin Berantas Premanisme dan Ormas Tak Jelas,Ormas Saja,Negative,dedi mulyadi ingin berantas preman dan ormas tak jelas
2025-02-11 15:20:00,Kemenperin Benarkan Premanisme Ormas Jadi Sebab Investasi Terhambat,Ormas Saja,Negative,kemenperin benar preman ormas jadi sebab investasi hambat
2025-02-13 15:41:00,"Hadiri Muktamar IDI, Yusril Jelaskan  Organisasi Profesi Berbeda dengan Ormas",Ormas Saja,Neutral,hadir muktamar idi yusril jelas organisasi profesi beda dengan ormas
2025-02-14 17:34:00,Polda Metro Ajak Ormas Ciptakan Situasi Kondusif Jelang Ramadan,Ormas Saja,Positive,polda metro ajak ormas cipta situasi kondusif jelang ramadan
2025-02-11 09:53:00,Kemenperin Benarkan Premanisme Ormas Gagalkan Investasi Ratusan Triliun,Ormas Saja,Negative,kemenperin benar preman ormas gagal investasi ratus triliun
2025-02-10 14:15:00,"Investasi Ratusan Triliun Melayang Gegara Premanisme Ormas, BKPM Buka Suara",Ormas Saja,Negative,investasi ratus triliun layang gegara preman ormas bkpm buka suara
2025-03-21 13:42:00,Video Menhub soal Ormas Larang Dirikan Posko Mudik: Serahkan ke Pemda-Polisi,Ormas Saja,Neutral,video menhub soal ormas larang diri posko mudik serah ke pemda-polisi
2025-02-11 14:53:00,"Heboh Ormas Ganggu Investasi Ratusan Triliun, Rosan: Perlu Ada Diskusi",Ormas Saja,Negative,heboh ormas ganggu investasi ratus triliun ros perlu ada diskusi
2025-02-24 11:04:00,"Peluncuran Danantara Dihadiri Ketum Parpol, Ormas Agama hingga Tokoh Ekonomi",Ormas Saja,Positive,luncur danantara hadir tum parpol ormas agama hingga tokoh ekonomi
2025-02-12 21:05:00,Festival Nonhalal di Solo Tetap Digelar Meski Ditolak Ormas,Ormas Saja,Neutral,festival nonhalal di solo tetap gelar meski tolak ormas
2024-05-27 10:05:00,Massa Beraksi Depan KPK Terkait Kuota Haji,Ormas Saja,Neutral,massa aksi depan kpk kait kuota haji
2025-03-10 16:39:00,Video Momen Wabup Garut Tegur Ormas Razia Warung saat Puasa,Ormas Saja,Negative,video momen wabup garut tegur ormas razia warung saat puasa
2025-02-18 12:52:00,"RUU Minerba Disahkan, UMKM-Ormas Keagamaan Diprioritaskan Dapat Izin Tambang",Ormas Saja,Positive,ruu minerba sah umkm-ormas agama prioritas dapat izin tambang
2025-02-06 16:15:00,Pengusaha Surati Prabowo Keluhkan Ormas Minta Jatah di Kawasan Industri,Ormas Saja,Negative,usaha surati prabowo keluh ormas minta jatah di kawasan industri
2025-02-19 07:36:00,"UMKM, Ormas, dan Koperasi Diprioritaskan Dapat Izin Usaha Tambang",Ormas Saja,Positive,umkm ormas dan koperasi prioritas dapat izin usaha tambang
2025-02-12 13:52:00,"Ditolak Ormas, Gelaran Festival Nonhalal di Solo Tetap Digelar",Ormas Saja,Neutral,tolak ormas gelar festival nonhalal di solo tetap gelar
2025-01-30 12:18:00,Bentrok Personel TNI dengan Ormas di Deli Serdang Berakhir Damai,Ormas Saja,Neutral,bentrok personel tni dengan ormas di deli serdang akhir damai
2025-01-23 13:31:00,"Polemik Perlintasan Ciroyom, Ditutup KAI-Dibuka Sepihak Ormas",Ormas Saja,Negative,polemik lintas ciroyom tutup kai-dibuka pihak ormas
2025-03-21 09:25:00,Video: Pria Mengaku Anggota Ormas di Cikarang Ngamuk Larang Pendirian Posko Mudik,Ormas Saja,Negative,video pria aku anggota ormas di cikarang ngamuk larang diri posko mudik
2025-01-22 11:51:00,"PBNU: Konsesi Tambang untuk Ormas Niat Baik Pemerintah, Pahalanya Banyak",Nahdlatul Ulama (NU),Positive,pbnu konsesi tambang untuk ormas niat baik perintah pahala banyak
2024-08-14 16:15:00,Tarik Tambang Ormas Agama,Ormas Saja,Negative,tarik tambang ormas agama
2025-01-22 14:35:00,Legislator PDIP ke NU-Muhammadiyah: Adilkah Ormas Diberi Prioritas Tambang?,Nahdlatul Ulama (NU),Neutral,legislator pdip ke nu-muhammadiyah adil ormas beri prioritas tambang
2023-11-17 17:23:00,Massa Bela Palestina Demo di Surabaya  Sasar Restoran Cepat Saji,Ormas Saja,Neutral,massa bela palestina demo di surabaya sasar restoran cepat saji
2025-03-22 16:20:00,Tanggapan Bima Arya soal Ormas Minta THR Jelang Lebaran,Ormas Saja,Negative,tanggap bima arya soal ormas minta thr jelang lebaran
2025-01-18 18:22:00,Jawab Jokowi soal Isu Gibran Gabung Ormas Pendiri Golkar,Ormas Saja,Neutral,jawab jokowi soal isu gibran gabung ormas diri golkar
2025-03-22 14:00:00,Penyebab Ormas Ngamuk hingga Buang Sampah di Kantor Dinkes Bekasi,Ormas Saja,Negative,sebab ormas ngamuk hingga buang sampah di kantor dinkes bekas
2025-01-14 09:15:00,Video: Ormas Pemuda Pancasila Geruduk Markas GRIB di Blora,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,video ormas pemuda pancasila geruduk markas grib di blora
2025-03-21 18:21:00,Polres Probolinggo Bentuk Satgas Antisipasi Premanisme Berkedok Ormas,Ormas Saja,Neutral,polres probolinggo bentuk satgas antisipasi preman kedok ormas
2025-03-17 21:29:00,"Gangguan Ormas di Kawasan Industri, Waka MPR Minta Aparat Bertindak",Ormas Saja,Negative,ganggu ormas di kawasan industri waka mpr minta aparat tindak
2025-03-17 21:00:00,Video: Bupati Subang Akui Banyak Investor Urungkan Niat gegara Premanisme,Ormas Saja,Negative,video bupati subang aku banyak investor urung niat gegara preman
2025-03-20 19:27:00,Video: Heboh Sekelompok Anggota LSM Ngamuk di Kantor Dinkes Kabupaten Bekasi,Ormas Saja,Negative,video heboh kelompok anggota lsm ngamuk di kantor dinkes kabupaten bekas
2025-03-20 19:19:00,Kapolres Bogor Tegaskan Bakal Tindak Ormas Paksa Minta THR,Ormas Saja,Negative,kapolres bogor tegas bakal tindak ormas paksa minta thr
2025-03-19 16:44:00,"Asosiasi Pembiayaan Keluhkan Aksi Ormas 'Preman', Ganggu Industri",Ormas Saja,Negative,asosiasi biaya keluh aksi ormas preman ganggu industri
2023-09-19 18:59:00,LSI Rilis Hasil Survei Suara Ormas dan Partai Islam di Pilpres 2024,Ormas Saja,Neutral,lsi rilis hasil survei suara ormas dan partai islam di pilpres 2024
2025-03-17 15:59:00,Jurus Polda Jateng Berantas Premanisme Berkedok Ormas Jelang Lebaran,Ormas Saja,Neutral,jurus polda jateng berantas preman kedok ormas jelang lebaran
2025-03-26 09:54:00,"Ada Oknum Ormas Minta THR, BKPM: Efeknya Negatif!",Ormas Saja,Negative,ada oknum ormas minta thr bkpm efek negatif
2025-01-13 12:27:00,Politikus NasDem Dukung Anies Dirikan Ormas: Supaya Warnanya Jelas,Ormas Saja,Neutral,politikus nasdem dukung anies diri ormas supaya warna jelas
2025-01-13 20:38:00,Ormas Pemuda Pancasila Geruduk Markas GRIB di Blora,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,ormas pemuda pancasila geruduk markas grib di blora
2025-01-18 09:03:00,Kabar Spekulasi Gibran Merapat ke Ormas Pendiri Golkar,Ormas Saja,Neutral,kabar spekulasi gibran rapat ke ormas diri golkar
2025-03-19 18:24:00,"Video: Viral Ormas Minta THR ke Pengusaha, Ini Kata Wamenag",Ormas Saja,Negative,video viral ormas minta thr ke usaha ini kata wamenag
2025-01-15 18:03:00,Polisi Selidiki Motif Bentrok Ormas PP Vs GRIB di Bandung,Pemuda Pancasila (PP),Negative,polisi selidik motif bentrok ormas pp vs grib di bandung
2025-01-15 14:33:00,12 Orang Luka-luka dalam Bentrok 2 Ormas di Blora,Ormas Saja,Negative,12 orang luka dalam bentrok 2 ormas di blora
2025-01-11 15:05:00,"Anies soal Bakal Luncurkan Ormas: Ada Kabar, Diumumkan",Ormas Saja,Neutral,anies soal bakal luncur ormas ada kabar umum
2023-08-01 01:37:00,Momen Peringatan Hari Pattimura di Bogor,Ormas Saja,Neutral,momen ingat hari pattimura di bogor
2025-01-15 15:10:00,Polisi Tangkap 19 Orang Buntut Bentrokan 2 Ormas di Blora,Ormas Saja,Negative,polisi tangkap 19 orang buntut bentrok 2 ormas di blora
2025-01-09 19:39:00,"Jubir Ungkap Anies Bakal Buat Ormas, Pendukung Ikut Dilibatkan",Ormas Saja,Neutral,jubir ungkap anies bakal buat ormas dukung ikut libat
2025-01-15 10:21:00,Anggota 2 Ormas Bentrok di Blora hingga Mobil Rusak,Ormas Saja,Negative,anggota 2 ormas bentrok di blora hingga mobil rusak
2025-01-11 18:36:00,Video Anies soal Wacana Bentuk Ormas: Begitu Ada Kabar Diumumkan,Ormas Saja,Neutral,video anies soal wacana bentuk ormas begitu ada kabar umum
2025-01-16 09:30:00,"Bentrok Ormas PP dan GRIB di Bandung, Ini 4 Faktanya",Pemuda Pancasila (PP),Negative,bentrok ormas pp dan grib di bandung ini 4 fakta
2025-01-09 08:55:00,Heboh Camat Asemrowo Digeruduk Ormas Dituding Sembunyikan Wanita,Ormas Saja,Negative,heboh camat asemrowo digeruduk ormas tuding sembunyi wanita
2024-12-23 18:37:00,Polisi Ungkap Bentrokan di Ciledug Dipicu Penurunan Bendera Ormas,Nahdlatul Ulama (NU),Negative,polisi ungkap bentrok di ciledug picu turun bendera ormas
2025-03-10 16:01:00,Video Momen Wabup Garut Tegur Ormas Razia Warung saat Puasa,Ormas Saja,Negative,video momen wabup garut tegur ormas razia warung saat puasa
2024-12-23 13:06:00,Tahun Ini Ormas Keagamaan Dapat Jalur Khusus Kelola Tambang,Ormas Saja,Positive,tahun ini ormas agama dapat jalur khusus kelola tambang
2025-03-19 19:28:00,"Video: Viral Ormas Minta THR ke Pengusaha, Ini Kata Wamenag",Ormas Saja,Negative,video viral ormas minta thr ke usaha ini kata wamenag
2024-12-20 14:00:00,Video: Polri Bakal Libatkan Ormas Amankan Gereja saat Natal,Ormas Saja,Positive,video polri bakal libat ormas aman gereja saat natal
2023-07-17 16:47:00,"Peluncuran Buku ""Nilai-Nilai Kebajikan dalam Jamaah LDII""",Ormas Saja,Positive,luncur buku nilai kebaji dalam jamaah ldii
2025-01-15 17:19:00,"Video: Markas Ormas PP di Bandung Diserang, 6 Orang Luka",Pemuda Pancasila (PP),Negative,video markas ormas pp di bandung serang 6 orang luka
2024-12-12 12:52:00,"Jelang Natal, Walkot Eri Libatkan Ormas Bantu Jaga Keamanan Gereja",Ormas Saja,Positive,jelang natal walkot eri libat ormas bantu jaga aman gereja
2024-12-10 15:30:00,Penyebab 2 Ormas Bentrok di Sergai hingga Markas Grib Dibakar,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,sebab 2 ormas bentrok di sergai hingga markas grib bakar
2024-12-09 15:30:00,"Saling Lapor, Konflik Guru Ngaji dan Ormas Garut Masuk Pengadilan",Ormas Saja,Negative,saling lapor konflik guru ngaji dan ormas garut masuk adil
2024-12-04 18:06:00,"Guru Ngaji Terlibat Pertikaian dengan Ormas di Garut, Ini Kronologinya",Ormas Saja,Negative,guru ngaji libat tikai dengan ormas di garut ini kronologi
2024-12-02 23:14:00,Pj Walkot Pekanbaru Terjaring OTT Jabat Direktur Ormas di Kemendagri,Ormas Saja,Negative,pj walkot pekanbaru jaring ott jabat direktur ormas di kemendagri
2024-11-18 16:16:00,"2 Ormas Bentrok di Pekanbaru, Polisi Bakal Usut Tuntas",Ormas Saja,Negative,2 ormas bentrok di pekanbaru polisi bakal usut tuntas
2025-02-13 09:18:00,"Video: Ormas Geruduk Festival Kuliner Nonhalal di Solo, Ini Pesan Wali Kota",Ormas Saja,Neutral,video ormas geruduk festival kuliner nonhalal di solo ini pesan wali kota
2024-11-07 07:02:00,Bentrok Ormas Berujung Aksi Pembakaran Kini Diusut Polisi,Ormas Saja,Negative,bentrok ormas ujung aksi bakar kini usut polisi
2025-03-15 16:01:00,Kronologi Petugas Wi-Fi Dikeroyok Oknum Ormas di Depok gegara Ogah Dipalak,Nahdlatul Ulama (NU),Negative,kronologi tugas wi-fi keroyok oknum ormas di depok gegara ogah palak
2024-11-06 08:40:00,"Bentrokan 2 Kelompok Ormas di Setu Tangsel, Posko Dibakar",Ormas Saja,Negative,bentrok 2 kelompok ormas di setu tangsel posko bakar
2023-07-05 16:53:00,Donor Darah Sambut HUT Bhayangkara,Ormas Saja,Positive,donor darah sambut hut bhayangkara
2024-11-06 16:50:00,Polisi Selidiki Bentrokan Ormas Berujung Pembakaran Posko di Tangsel,Ormas Saja,Negative,polisi selidik bentrok ormas ujung bakar posko di tangsel
2025-03-10 11:00:00,"Anggota Nongol Saat Ormas Sweeping Warung, Ini Kata Kasatpol PP Garut",Pemuda Pancasila (PP),Negative,anggota nongol saat ormas sweeping warung ini kata kasatpol pp garut
2025-03-15 12:43:00,Oknum Ormas Aniaya Petugas Kabel Wi-Fi di Depok gegara Korban Ogah Dipalak,Nahdlatul Ulama (NU),Negative,oknum ormas aniaya tugas kabel wi-fi di depok gegara korban ogah palak
2025-03-09 12:31:00,"Aksi Sweeping Warung di Garut, Polisi Periksa Ormas hingga Satpol PP",Pemuda Pancasila (PP),Negative,aksi sweeping warung di garut polisi periksa ormas hingga satpol pp
2025-02-28 05:43:00,Ormas Gerakan Rakyat Bisa Jadi Mesin Politik Anies? PAN: Hak Warga Negara,Ormas Saja,Neutral,ormas gera rakyat bisa jadi mesin politik anies pan hak warga negara
2025-02-28 08:18:00,"Anies Jadi Tokoh Sentral di Ormas Gerakan Rakyat, PKS Sambut Terbuka",Ormas Saja,Positive,anies jadi tokoh sentral di ormas gera rakyat pks sambut buka
2025-02-28 06:44:00,Bos PPI Yakin Ormas Gerakan Rakyat Jadi Ancang-ancang Anies Nyapres 2029,Pemuda Pancasila (PP),Neutral,bos ppi yakin ormas gera rakyat jadi ancang anies nyapres 2029
2025-02-05 13:42:00,Video Endang Tirtana Bicara Peran Ormas Keagamaan Saat Krisis Bencana,Ormas Saja,Positive,video endang tirtana bicara peran ormas agama saat krisis bencana
2025-02-27 17:26:00,PKB soal Anies Hadir di Ormas Gerakan Rakyat: Mudah-mudahan Lancar,Ormas Saja,Positive,pkb soal anies hadir di ormas gera rakyat mudah lancar
2025-03-10 11:51:00,"Ada Anggotanya Saat Ormas Sweeping Warung, Kasatpol PP Garut Buka Suara",Pemuda Pancasila (PP),Negative,ada anggota saat ormas sweeping warung kasatpol pp garut buka suara
2025-03-08 12:41:00,Jumat Curhat Kapolres Purbalingga Dapat Keluhan soal Ormas hingga Knalpot Brong,Ormas Saja,Neutral,jumat curhat kapolres purbalingga dapat keluh soal ormas hingga knalpot brong
2023-06-14 14:57:00,Dorong KPK Bongkar Mafia di Mahkamah Agung,Ormas Saja,Neutral,dorong kpk bongkar mafia di mahkamah agung
